Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,Realtor,Price_CLP_MM,F_homicidio,T_homicidio,R_homicidio,F_rlh,T_rlh,R_rlh,F_rlnh,T_rlnh,R_rlnh,F_r_veh,T_r_veh,R_r_veh,F_r_violencia,T_r_violencia,R_r_violencia,F_violacion,T_violacion,R_violacion,Sector
Huechuraba,SantaMartadeHuechuraba,5,5.0,180.0,580.0,5.0,Mpm Propiedades Limitada,444.84,5,4.3,medio,112,96.7,bajo,281,242.5,medio,156,134.6,medio,636,548.9,alto,28,24.2,alto,Norte
ElMonte,IgnacioPalmaVicuña218,3,3.0,100.0,170.0,2.0,Propital,115.0,3,7.3,alto,114,276.8,crítico,245,595.0,crítico,23,55.9,bajo,63,153.0,bajo,9,21.9,medio,Surponiente
Providencia,DiegodeAlmagroconSuecia,4,3.0,94.0,104.0,1.0,Propital,261.2,2,1.2,medio,290,179.5,alto,906,560.8,crítico,645,399.2,crítico,1301,805.2,alto,36,22.3,alto,Nororiente
Macul,JorgeGonzálezBastías4215,2,1.0,70.0,128.0,1.0,Rosario,99.0,4,2.9,medio,255,186.0,alto,547,399.0,alto,245,178.7,medio,867,632.5,alto,35,25.5,alto,Suroriente
Ñuñoa,Hannoverconestrellasolitaria,6,2.0,157.0,408.0,6.0,Propital,571.9,3,1.2,medio,422,162.5,medio,914,351.9,medio,629,242.2,alto,1175,452.4,medio,24,9.2,bajo,Nororiente
Santiago,CostaneraFerreaPoniente,4,3.0,82.0,140.0,4.0,Zerpa Propiedades,0.0,55,10.4,crítico,488,92.6,bajo,1822,345.7,medio,1805,342.5,crítico,5993,1137.2,crítico,163,30.9,crítico,Centro
Peñalolén,Peñalolén,5,4.0,130.0,175.0,3.0,Difusion Propiedades,150.0,12,4.4,medio,481,177.7,alto,737,272.3,medio,402,148.5,medio,1037,383.1,medio,70,25.9,alto,Suroriente
EstaciónCentral,EstaciónCentral,7,3.0,180.0,120.0,2.0,Difusion Propiedades,198.0,19,8.7,crítico,233,107.0,medio,542,249.0,medio,648,297.7,alto,2059,946.0,crítico,48,22.1,alto,Surponiente
Colina,CondominioCanquénNorte,4,3.0,270.0,580.0,4.0,Sucasa Gestión Inmobiliaria,601.47,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
Conchalí,SeisPoniente,6,2.0,156.0,192.0,1.0,Ascaim Propiedades,137.0,7,5.0,alto,155,111.8,medio,296,213.5,bajo,275,198.4,alto,1125,811.5,alto,28,20.2,medio,Norte
PuenteAlto,LosCastaños1059,3,1.0,85.0,185.0,2.0,Ambiento Propiedades,137.02,15,2.3,medio,863,130.7,medio,1271,192.5,bajo,1015,153.7,medio,2883,436.6,medio,137,20.7,medio,Suroriente
