,Sec_Centro,Sec_Nororiente,Sec_Norponiente,Sec_Norte,Sec_Sur,Sec_Suroriente,Sec_Surponiente,Dorms,Baths,Built Area,Total Area,Parking,Price_CLP_MM
216,False,True,False,False,False,False,False,4,4.0,356.0,812.0,5.0,1633.58
217,False,True,False,False,False,False,False,5,4.0,304.0,600.0,4.0,1170.91
218,False,True,False,False,False,False,False,7,6.0,380.0,1012.0,6.0,1316.47
219,False,True,False,False,False,False,False,4,4.0,430.0,1600.0,6.0,1135.32
220,False,True,False,False,False,False,False,5,4.0,450.0,2000.0,5.0,1199.38
221,False,True,False,False,False,False,False,4,3.0,222.0,766.0,6.0,658.42
222,False,True,False,False,False,False,False,5,5.0,280.0,800.0,4.0,971.61
223,False,True,False,False,False,False,False,4,4.0,200.0,831.0,6.0,1.42
224,False,True,False,False,False,False,False,5,4.0,350.0,950.0,10.0,1.42
225,False,True,False,False,False,False,False,5,4.0,620.0,1600.0,12.0,2135.4
226,False,True,False,False,False,False,False,4,3.0,260.0,830.0,2.0,996.52
227,False,False,False,False,False,False,True,3,3.0,93.0,93.0,2.0,150.0
228,False,False,False,False,False,False,True,3,2.0,61.0,176.0,3.0,127.99
229,False,False,False,False,False,True,False,4,3.0,174.0,209.0,2.0,255.32
230,False,False,False,False,True,False,False,4,2.0,140.0,162.0,2.0,75.0
231,False,False,False,False,False,False,True,4,1.0,100.0,106.0,2.0,67.0
232,False,True,False,False,False,False,False,3,1.0,100.0,100.0,2.0,154.9
233,False,True,False,False,False,False,False,3,1.0,110.0,220.0,1.0,100.72
234,False,False,False,False,False,True,False,4,3.0,140.0,313.0,3.0,412.84
235,False,True,False,False,False,False,False,5,4.0,160.0,286.0,3.0,455.55
236,False,False,True,False,False,False,False,4,3.0,108.0,217.0,2.0,201.08
237,False,True,False,False,False,False,False,4,3.0,176.0,600.0,4.0,615.71
238,False,False,True,False,False,False,False,2,1.0,36.0,64.0,1.0,56.9
239,False,True,False,False,False,False,False,7,6.0,433.0,1008.0,10.0,847.04
240,False,True,False,False,False,False,False,5,4.0,330.0,1000.0,5.0,1067.7
241,False,True,False,False,False,False,False,4,5.0,260.0,1397.0,4.0,811.45
242,False,True,False,False,False,False,False,7,5.0,470.0,1800.0,7.0,1779.5
243,False,True,False,False,False,False,False,8,7.0,692.0,2061.0,7.0,2131.84
244,False,False,False,True,False,False,False,3,2.0,85.0,90.0,1.0,88.0
245,False,False,False,True,False,False,False,3,4.0,150.0,518.0,2.0,542.75
246,False,False,False,False,False,True,False,3,2.0,100.0,100.0,1.0,56.0
247,False,True,False,False,False,False,False,5,4.0,300.0,1000.0,5.0,1014.32
248,False,True,False,False,False,False,False,5,1.0,15951.0,250.0,3.0,517.3
